variant,block,order,mode,threads,multipv,position,elapsed_ns,stop_lag_ns,nodes,depth,score,bestmove,callbacks,max_pv,last_pv,engine_time_ms
fixed,2,2,time,1,8,selfplay-88,1000488746,,788925,13,cp 3816,2h2g,105,16,16,1000
baseline,2,3,time,1,1,complex-middle,1000213458,,875854,13,cp -498,B*6h,14,18,14,1000
baseline,2,3,time,1,1,movegen-heavy,1000151671,,816534,16,cp -2522,G*1c,17,17,14,1000
baseline,2,3,time,1,1,selfplay-88,1000579698,,744752,17,cp 5317,2h2g,18,15,15,1000
baseline,2,3,time,1,8,complex-middle,1000160820,,920924,11,cp -73,B*6h,89,25,12,1000
baseline,2,3,time,1,8,movegen-heavy,1000133197,,934396,11,cp -2005,N*2c,89,20,9,1000
baseline,2,3,time,1,8,selfplay-88,1000561354,,591834,13,cp 3727,2h2g,105,19,9,1000
baseline,3,0,time,1,1,complex-middle,1000326542,,624499,13,cp -498,B*6h,14,18,14,1000
baseline,3,0,time,1,1,movegen-heavy,1000588415,,601052,15,cp -2314,N*2c,16,17,17,1000
baseline,3,0,time,1,1,selfplay-88,1000580390,,551528,16,cp 4051,2h2g,17,14,14,1000
baseline,3,0,time,1,8,complex-middle,1000238787,,680941,11,cp -73,B*6h,89,25,12,1000
baseline,3,0,time,1,8,movegen-heavy,1000288792,,705573,11,cp -2005,N*2c,89,20,9,1000
baseline,3,0,time,1,8,selfplay-88,1000167334,,575668,13,cp 3727,2h2g,105,19,9,1000
fixed,3,1,time,1,1,complex-middle,1000213901,,654960,13,cp -498,B*6h,14,17,14,1000
fixed,3,1,time,1,1,movegen-heavy,1000253216,,625930,15,cp -2314,N*2c,16,17,17,1000
fixed,3,1,time,1,1,selfplay-88,1000243578,,556278,16,cp 4051,2h2g,17,13,13,1000
fixed,3,1,time,1,8,complex-middle,1000463643,,647889,11,cp -73,B*6h,89,23,12,1000
fixed,3,1,time,1,8,movegen-heavy,1000192111,,679466,11,cp -2005,N*2c,89,20,9,1000
fixed,3,1,time,1,8,selfplay-88,1000264188,,557593,12,cp 3303,2h2g,97,16,10,1000
fixed,3,2,time,1,1,complex-middle,1000180450,,648928,13,cp -498,B*6h,14,17,14,1000
fixed,3,2,time,1,1,movegen-heavy,1000452523,,625930,15,cp -2314,N*2c,16,17,17,1000
fixed,3,2,time,1,1,selfplay-88,1000691934,,557994,16,cp 4051,2h2g,17,13,13,1000
fixed,3,2,time,1,8,complex-middle,1000326496,,678168,11,cp -73,B*6h,89,23,12,1000
fixed,3,2,time,1,8,movegen-heavy,1000416766,,708751,11,cp -2005,N*2c,89,20,9,1000
fixed,3,2,time,1,8,selfplay-88,1000343449,,547883,12,cp 3303,2h2g,97,16,10,1000
baseline,3,3,time,1,1,complex-middle,1000470147,,613886,13,cp -498,B*6h,14,18,14,1000
baseline,3,3,time,1,1,movegen-heavy,1000427888,,580699,15,cp -2314,N*2c,16,17,17,1000
baseline,3,3,time,1,1,selfplay-88,1000586657,,513553,16,cp 4051,2h2g,17,14,14,1000
baseline,3,3,time,1,8,complex-middle,1000150736,,622280,11,cp -73,B*6h,89,25,12,1000
baseline,3,3,time,1,8,movegen-heavy,1000207223,,662353,11,cp -2005,N*2c,89,20,9,1000
baseline,3,3,time,1,8,selfplay-88,1000365050,,556324,12,cp 3255,2h2g,97,13,10,1000
baseline,4,0,time,1,1,complex-middle,1000162169,,617970,13,cp -498,B*6h,14,18,14,1000
baseline,4,0,time,1,1,movegen-heavy,1000288507,,585678,15,cp -2314,N*2c,16,17,17,1000
baseline,4,0,time,1,1,selfplay-88,1000464980,,522977,16,cp 4051,2h2g,17,14,14,1000
baseline,4,0,time,1,8,complex-middle,1000271085,,627998,11,cp -73,B*6h,89,25,12,1000
baseline,4,0,time,1,8,movegen-heavy,1000468597,,653963,11,cp -2005,N*2c,89,20,9,1000
baseline,4,0,time,1,8,selfplay-88,1000420967,,541041,12,cp 3303,2h2g,97,16,10,1000
fixed,4,1,time,1,1,complex-middle,1000218055,,622898,13,cp -498,B*6h,14,17,14,1000
fixed,4,1,time,1,1,movegen-heavy,1000452848,,587901,15,cp -2314,N*2c,16,17,17,1000
fixed,4,1,time,1,1,selfplay-88,1000736873,,520223,16,cp 4051,2h2g,17,13,13,1000
fixed,4,1,time,1,8,complex-middle,1000206866,,653858,11,cp -73,B*6h,89,23,12,1000
fixed,4,1,time,1,8,movegen-heavy,1000314749,,688670,11,cp -2005,N*2c,89,20,9,1000
fixed,4,1,time,1,8,selfplay-88,1000495921,,568462,12,cp 3255,2h2g,97,13,10,1000
fixed,4,2,time,1,1,complex-middle,1000217897,,644580,13,cp -498,B*6h,14,17,14,1000
fixed,4,2,time,1,1,movegen-heavy,1000503315,,612372,15,cp -2314,N*2c,16,17,17,1000
fixed,4,2,time,1,1,selfplay-88,1000496472,,550594,16,cp 4051,2h2g,17,13,13,1000
fixed,4,2,time,1,8,complex-middle,1000229129,,664282,11,cp -73,B*6h,89,23,12,1000
fixed,4,2,time,1,8,movegen-heavy,1000203891,,693443,11,cp -2005,N*2c,89,20,9,1000
fixed,4,2,time,1,8,selfplay-88,1000426902,,577198,12,cp 3255,2h2g,97,13,10,1000
baseline,4,3,time,1,1,complex-middle,1000371327,,631192,13,cp -498,B*6h,14,18,14,1000
