variant,block,order,mode,threads,position,multipv,ns,nodes,depth,score,bestmove,callbacks,emitted_moves
fixed,7,1,nodes,1,2,1,123638395,100034,14,790,8h2b+,15,124
fixed,7,1,nodes,1,2,4,121400890,100000,9,534,8h2b+,37,190
fixed,7,2,nodes,1,0,1,106794188,100046,13,0,5i5h,14,74
fixed,7,2,nodes,1,0,4,104267259,100034,10,7,5i5h,41,182
fixed,7,2,nodes,1,1,1,112970065,100009,12,0,2e2d,13,86
fixed,7,2,nodes,1,1,4,114195158,100044,10,0,2e2d,41,203
fixed,7,2,nodes,1,2,1,124466552,100034,14,790,8h2b+,15,124
fixed,7,2,nodes,1,2,4,119697799,100000,9,534,8h2b+,37,190
baseline,7,3,nodes,1,0,1,103304439,100046,13,0,5i5h,14,75
baseline,7,3,nodes,1,0,4,103585969,100034,10,7,5i5h,41,183
baseline,7,3,nodes,1,1,1,113373343,100009,12,0,2e2d,13,86
baseline,7,3,nodes,1,1,4,114515180,100044,10,0,2e2d,41,210
baseline,7,3,nodes,1,2,1,124036424,100034,14,790,8h2b+,15,125
baseline,7,3,nodes,1,2,4,120279814,100000,9,534,8h2b+,37,192
baseline,0,0,depth,1,0,1,40863580,5233,10,0,5i5h,11,49
baseline,0,0,depth,1,0,4,103292197,98668,10,7,5i5h,41,183
baseline,0,0,depth,1,1,1,39938340,3559,10,0,2h6h,11,53
baseline,0,0,depth,1,1,4,57773219,27024,10,0,2e2d,41,210
baseline,0,0,depth,1,2,1,55324336,20184,10,468,2d2b+,11,51
baseline,0,0,depth,1,2,4,182608424,173097,10,534,8h2b+,41,239
fixed,0,1,depth,1,0,1,44270422,5233,10,0,5i5h,11,48
fixed,0,1,depth,1,0,4,103038561,98668,10,7,5i5h,41,182
fixed,0,1,depth,1,1,1,40014604,3559,10,0,2h6h,11,53
fixed,0,1,depth,1,1,4,57399497,27024,10,0,2e2d,41,203
fixed,0,1,depth,1,2,1,55259816,20184,10,468,2d2b+,11,51
fixed,0,1,depth,1,2,4,177596607,173097,10,534,8h2b+,41,231
fixed,0,2,depth,1,0,1,41829335,5233,10,0,5i5h,11,48
fixed,0,2,depth,1,0,4,103834769,98668,10,7,5i5h,41,182
fixed,0,2,depth,1,1,1,40229317,3559,10,0,2h6h,11,53
fixed,0,2,depth,1,1,4,57294039,27024,10,0,2e2d,41,203
fixed,0,2,depth,1,2,1,55714240,20184,10,468,2d2b+,11,51
fixed,0,2,depth,1,2,4,177189131,173097,10,534,8h2b+,41,231
baseline,0,3,depth,1,0,1,41251669,5233,10,0,5i5h,11,49
baseline,0,3,depth,1,0,4,103237306,98668,10,7,5i5h,41,183
baseline,0,3,depth,1,1,1,40472264,3559,10,0,2h6h,11,53
baseline,0,3,depth,1,1,4,58347730,27024,10,0,2e2d,41,210
baseline,0,3,depth,1,2,1,57152864,20184,10,468,2d2b+,11,51
baseline,0,3,depth,1,2,4,181692416,173097,10,534,8h2b+,41,239
baseline,1,0,depth,1,0,1,41933160,5233,10,0,5i5h,11,49
baseline,1,0,depth,1,0,4,102628222,98668,10,7,5i5h,41,183
baseline,1,0,depth,1,1,1,40563416,3559,10,0,2h6h,11,53
baseline,1,0,depth,1,1,4,57553447,27024,10,0,2e2d,41,210
baseline,1,0,depth,1,2,1,55173113,20184,10,468,2d2b+,11,51
baseline,1,0,depth,1,2,4,183742108,173097,10,534,8h2b+,41,239
fixed,1,1,depth,1,0,1,41681076,5233,10,0,5i5h,11,48
fixed,1,1,depth,1,0,4,105935408,98668,10,7,5i5h,41,182
fixed,1,1,depth,1,1,1,40114372,3559,10,0,2h6h,11,53
fixed,1,1,depth,1,1,4,57596258,27024,10,0,2e2d,41,203
fixed,1,1,depth,1,2,1,56052096,20184,10,468,2d2b+,11,51
fixed,1,1,depth,1,2,4,178219290,173097,10,534,8h2b+,41,231
fixed,1,2,depth,1,0,1,41343502,5233,10,0,5i5h,11,48
fixed,1,2,depth,1,0,4,102676913,98668,10,7,5i5h,41,182
fixed,1,2,depth,1,1,1,39944974,3559,10,0,2h6h,11,53
fixed,1,2,depth,1,1,4,57447107,27024,10,0,2e2d,41,203
fixed,1,2,depth,1,2,1,56190827,20184,10,468,2d2b+,11,51
fixed,1,2,depth,1,2,4,184688770,173097,10,534,8h2b+,41,231
baseline,1,3,depth,1,0,1,46633344,5233,10,0,5i5h,11,49
baseline,1,3,depth,1,0,4,103611611,98668,10,7,5i5h,41,183
baseline,1,3,depth,1,1,1,40627216,3559,10,0,2h6h,11,53
baseline,1,3,depth,1,1,4,57851278,27024,10,0,2e2d,41,210
baseline,1,3,depth,1,2,1,55105617,20184,10,468,2d2b+,11,51
baseline,1,3,depth,1,2,4,179466896,173097,10,534,8h2b+,41,239
baseline,2,0,depth,1,0,1,41824016,5233,10,0,5i5h,11,49
baseline,2,0,depth,1,0,4,103543794,98668,10,7,5i5h,41,183
baseline,2,0,depth,1,1,1,41340006,3559,10,0,2h6h,11,53
baseline,2,0,depth,1,1,4,58314277,27024,10,0,2e2d,41,210
baseline,2,0,depth,1,2,1,55428214,20184,10,468,2d2b+,11,51
baseline,2,0,depth,1,2,4,179383691,173097,10,534,8h2b+,41,239
fixed,2,1,depth,1,0,1,41181288,5233,10,0,5i5h,11,48
fixed,2,1,depth,1,0,4,102767786,98668,10,7,5i5h,41,182
fixed,2,1,depth,1,1,1,40367940,3559,10,0,2h6h,11,53
fixed,2,1,depth,1,1,4,57603382,27024,10,0,2e2d,41,203
fixed,2,1,depth,1,2,1,55158858,20184,10,468,2d2b+,11,51
fixed,2,1,depth,1,2,4,180930718,173097,10,534,8h2b+,41,231
